metric,normal_months,peak_months,delta_abs,delta_pct
monthly_orders_per_category,120.28235294117647,88.38235294117646,-31.900000000000006,-0.2652093114241002
monthly_items_per_category,131.38823529411764,95.76470588235294,-35.62352941176469,-0.27113180515759305
monthly_revenue_per_category,18657.48670588235,17388.275588235294,-1269.211117647057,-0.0680269072493509
avg_order_value,308.39519102779644,320.09995247771843,11.704761449921989,0.037953774217144076
avg_item_price,226.19892842901635,250.4745271604598,24.275598731443438,0.10731968935503322
large_purchase_share,0.21025736136221432,0.24423545770528743,0.03397809634307311,0.1616024101269795
avg_payment_installments,3.077672736018584,3.305452833082501,0.227780097063917,0.07401049968639084
share_installments_6_plus,0.18607973873085595,0.21353845138397692,0.02745871265312097,0.1475642261774508
freight_share,0.22177232097582492,0.20067163911348387,-0.021100681862341042,-0.09514569613329338
avg_delivery_time_days,12.447237117682468,13.150122919789059,0.7028858021065911,0.05646922248376507
avg_review_score,4.130211328899433,4.063763541672065,-0.06644778722736788,-0.01608822937519616
share_low_reviews,0.13570544426867684,0.14020844847579078,0.004503004207113942,0.033182192736487925
