category,quarter,orders_count,items_sold,revenue
computers,1,2,2,5748.99
computers,3,67,68,83628.89
computers,4,52,57,66902.92
construction_tools_construction,1,4,4,375.69000000000005
construction_tools_construction,2,5,9,476.36
construction_tools_construction,3,18,23,2969.74
construction_tools_construction,4,73,93,15400.09
electronics,1,57,67,5821.85
electronics,2,145,154,13031.39
electronics,3,201,217,14459.15
electronics,4,407,453,21887.95
food_drink,1,4,4,85.8
food_drink,2,14,17,450.79
food_drink,3,25,32,973.87
food_drink,4,61,71,5776.48
home_appliances,1,16,17,1054.2
home_appliances,2,79,81,4919.38
home_appliances,3,89,89,9413.53
home_appliances,4,48,48,7684.62
home_construction,1,8,14,1287.56
home_construction,2,14,20,5215.49
home_construction,3,11,14,1576.21
home_construction,4,77,94,15663.19
kitchen_dining_laundry_garden_furniture,1,6,6,363.88
kitchen_dining_laundry_garden_furniture,2,21,22,2712.68
kitchen_dining_laundry_garden_furniture,3,20,22,2732.3
kitchen_dining_laundry_garden_furniture,4,58,69,12713.289999999999
stationery,1,82,89,9806.01
stationery,2,132,137,13645.19
stationery,3,216,232,19125.28
stationery,4,467,507,48896.46
