period_type,category,top10_expensive_revenue,top10_expensive_items,period_revenue_share
normal_months,audio,2239.88,8,0.01188195599143923
normal_months,computers,15516.99,9,0.08231342406718334
normal_months,construction_tools_construction,688.0,2,0.0036496534288043064
normal_months,electronics,12388.39,34,0.06571704947800143
normal_months,home_appliances,2595.8,4,0.013770015073386946
normal_months,home_construction,4554.2,11,0.02415879599630897
normal_months,kitchen_dining_laundry_garden_furniture,2245.0,5,0.011909116203002425
normal_months,stationery,7050.349999999999,18,0.03740019484268959
normal_months,watches_gifts,141232.44,227,0.7491997949191839
peak_months,audio,2963.96,7,0.008567095498361233
peak_months,computers,140763.81,118,0.40686682781926065
peak_months,construction_tools_construction,10120.15,21,0.02925150525234498
peak_months,electronics,5105.889999999999,15,0.014758177314851626
peak_months,home_appliances,5310.3,9,0.015349008497060572
peak_months,home_construction,10772.84,29,0.031138054855182194
peak_months,kitchen_dining_laundry_garden_furniture,6830.9,17,0.019744184347884497
peak_months,stationery,3725.39,12,0.01076794960075033
peak_months,watches_gifts,160376.99,289,0.4635571968143039
