month,all_avg_installments,all_share_installments_6_plus,top10_avg_installments,top10_share_installments_6_plus
1,3.072289156626506,0.19167579408543264,5.632075471698113,0.5471698113207547
2,2.905274488697524,0.1652314316469322,4.972222222222222,0.43333333333333335
3,3.0666206420434934,0.19019675526406626,5.453642384105961,0.48013245033112584
4,3.250681198910082,0.20358115998442974,5.7592592592592595,0.5246913580246914
5,3.4133366633366635,0.21703296703296704,5.660759493670886,0.4911392405063291
6,3.2625394095729434,0.1991974777873316,5.8664772727272725,0.53125
7,3.3618659420289854,0.19451992753623187,5.515942028985507,0.43768115942028984
8,3.246820929747759,0.19136960600375236,5.437219730941704,0.4618834080717489
9,3.1536837660966857,0.1861937935402153,5.367504835589942,0.4661508704061896
10,3.0535097813578824,0.1791331031837361,5.189473684210526,0.443859649122807
11,3.2377581120943955,0.18513274336283186,5.5,0.4476744186046512
12,2.97462421205754,0.16647809924034265,5.210264900662252,0.43874172185430466
