feature,importance
total_orders,0.12772428525368024
seller_state_nunique,0.1277203927093327
total_revenue,0.11102339867901151
avg_payment_installments,0.0638626427256618
avg_product_photos_qty,0.06231115693754044
avg_product_weight_g,0.05682502318914009
share_low_reviews,0.055672750479427525
freight_share,0.048985860209068546
share_installments_6_plus,0.04873950750356371
avg_freight_value,0.04432284501711311
avg_review_score,0.04296235164934861
customer_state_nunique,0.034609565394402055
avg_product_volume_cm3,0.03195901239831565
avg_product_description_length,0.030032085238924918
avg_product_name_length,0.029580213663569107
median_price,0.02924209026956714
avg_delivery_time_days,0.028110079674474552
avg_price,0.02631673900785833
